NÃ­vel,Grupo Base,Friedman p,Tratamento,Tratamento,Transicao p
L2,B,7.687619768358636e-06,B,"B,dh",0.1026013191025098
L2,B,7.687619768358636e-06,B,"B,db",0.01323967248233393
L2,B,7.687619768358636e-06,B,"B,dh,db",0.001
L2,B,7.687619768358636e-06,"B,dh","B,dh,db",0.16616384082902225
L2,B,7.687619768358636e-06,"B,db","B,dh,db",0.5467078870576181
L2,H,0.0001684696211288858,H,"H,dh",0.31833185012641063
L2,H,0.0001684696211288858,H,"H,db",0.019875998507229098
L2,H,0.0001684696211288858,H,"H,dh,db",0.001
L2,H,0.0001684696211288858,"H,dh","H,dh,db",0.15150752275854062
L2,H,0.0001684696211288858,"H,db","H,dh,db",0.7682399251668544
L2,"H,B",0.09339156,n/a,n/a,n/a
L3,B,0.0020271929458658858,B,"B,dh",0.01323967248233393
L3,B,0.0020271929458658858,B,"B,db",0.9
L3,B,0.0020271929458658858,B,"B,dh,db",0.571323107286575
L3,B,0.0020271929458658858,"B,dh","B,dh,db",0.29596806143060617
L3,B,0.0020271929458658858,"B,db","B,dh,db",0.817468101263116
L3,H,0.00023290804089686105,H,"H,dh",0.047630055776347935
L3,H,0.00023290804089686105,H,"H,db",0.001
L3,H,0.00023290804089686105,H,"H,dh,db",0.1377679936047419
L3,H,0.00023290804089686105,"H,dh","H,dh,db",0.9
L3,H,0.00023290804089686105,"H,db","H,dh,db",0.31833185012641063
L3,"H,B",0.0047211195523928755,"H,B","H,B,dh",0.9
L3,"H,B",0.0047211195523928755,"H,B","H,B,db",0.47088808662600234
L3,"H,B",0.0047211195523928755,"H,B","H,B,dh,db",0.08344055086875068
L3,"H,B",0.0047211195523928755,"H,B,dh","H,B,dh,db",0.03751801022744705
L3,"H,B",0.0047211195523928755,"H,B,db","H,B,dh,db",0.7682399251668544
L4,B,0.008400118559485716,B,"B,dh",0.9
L4,B,0.008400118559485716,B,"B,db",0.047630055776347935
L4,B,0.008400118559485716,B,"B,dh,db",0.5467078870576187
L4,B,0.008400118559485716,"B,dh","B,dh,db",0.6205501715619501
L4,B,0.008400118559485716,"B,db","B,dh,db",0.571323107286575
L4,H,0.0001427787135239101,H,"H,dh",0.5959369619685206
L4,H,0.0001427787135239101,H,"H,db",0.05350632994616611
L4,H,0.0001427787135239101,H,"H,dh,db",0.8420850381756676
L4,H,0.0001427787135239101,"H,dh","H,dh,db",0.1815026666172621
L4,H,0.0001427787135239101,"H,db","H,dh,db",0.2959680614306066
L4,"H,B",0.06203463,n/a,n/a,n/a
